model_type,accuracy,precision,recall,f1,roc_auc,recall_std,alpha,binarize,var_smoothing,norm
gaussian,0.6100317827217567,0.5661628626304407,0.9524445489036122,0.7101716085686001,0.662880878387582,0.003467798034238787,,,0.016681005372000558,
complement,0.6915226813059809,0.6445275866270351,0.8585779686236747,0.7363084540576353,0.7674683284864272,0.003615124071617506,4.294343434343435,,,False
complement,0.5856342097659637,0.5492071062571128,0.9706695405029364,0.7015018400214101,0.7313668100869681,0.0016449222296899392,3.2862626262626264,,,True
complement,0.5853106038717133,0.549003971305026,0.9707156234522453,0.7013481428251815,0.7312901627663644,0.0017136396005431763,3.1854545454545455,,,True
bernoulli,0.680577867668304,0.6304060695957154,0.8779549384030062,0.7338643680314373,0.7266109310837983,0.003793391698946892,4.294343434343435,0.8421052631578947,,
gaussian,0.6114764518925166,0.5671881827388162,0.9517763541013613,0.7107905473096878,0.6569027962395797,0.0037779216506808257,,,5.99484250318941e-08,
gaussian,0.6114764518925166,0.5671881827388162,0.9517763541013613,0.7107905473096878,0.6569027962395797,0.0037779216506808257,,,7.742636826811262e-08,
bernoulli,0.6805663103149378,0.6303999623597909,0.8779318995825939,0.7338521830325315,0.7265048601211682,0.0037880768210783212,2.2781818181818183,0.21052631578947367,,
complement,0.6915226813059809,0.6445275866270351,0.8585779686236747,0.7363084540576353,0.7674778202414584,0.003615124071617506,3.9919191919191923,,,False
complement,0.5849407685639988,0.5487688773648413,0.970830828171275,0.7011863151700071,0.7311707130556101,0.0017135775420449842,3.034242424242424,,,True
gaussian,0.6114764518925166,0.5671881827388162,0.9517763541013613,0.7107905473096878,0.6569027935681024,0.0037779216506808257,,,1.6681005372000558e-10,
bernoulli,0.6805663103149378,0.6303999623597909,0.8779318995825939,0.7338521830325315,0.7266031864750366,0.0037880768210783212,2.832626262626263,0.6842105263157894,,
complement,0.5818433978618897,0.5468358395828784,0.9712916284677007,0.6997259164714846,0.7299121726409876,0.0017576898067270697,1.723737373737374,,,True
complement,0.5876451892516613,0.5504769387735061,0.9703008928339182,0.7024403034869604,0.7318672577036895,0.001578681506128846,3.9919191919191923,,,True
complement,0.6915226813059808,0.6445521977392004,0.8584627718673706,0.7362821751578155,0.7676115276225577,0.003598300640012018,0.3628282828282829,,,False
complement,0.5880612539728401,0.5507415415588277,0.9702087295895427,0.7026315184462502,0.731966273293661,0.0015643664018862656,4.143131313131313,,,True
gaussian,0.6114302224790523,0.5671542564505563,0.9517993982302576,0.7107707298386633,0.657540134364835,0.0036573713517413127,,,0.0012915496650148827,
complement,0.691534238659347,0.644533713418029,0.8586010074440871,0.7363209315323633,0.7674480867114919,0.003624366444944392,5.0,,,False
complement,0.5803987286911297,0.5459413268616995,0.9714529081733134,0.6990351967190156,0.7292425885204257,0.001828065961115785,1.21969696969697,,,True
bernoulli,0.6805663103149378,0.6303999623597909,0.8779318995825939,0.7338521830325315,0.7266449095856018,0.0037880768210783212,0.8164646464646466,0.7894736842105263,,
bernoulli,0.6805778676683039,0.630410361212179,0.8779318995825939,0.7338592534748611,0.7265868290216391,0.0037880768210783212,0.3628282828282829,0.47368421052631576,,
gaussian,0.6114764518925166,0.5671881827388162,0.9517763541013613,0.7107905473096878,0.6569131214916493,0.0037779216506808257,,,1.668100537200056e-05,
complement,0.5809188095926033,0.5462600273751854,0.9714529081733134,0.6992962522555224,0.7294596486272819,0.001828065961115785,1.370909090909091,,,True
bernoulli,0.680577867668304,0.6304017501376336,0.8779779798776606,0.7338694405574044,0.7264359493942907,0.0038288719181855577,4.445555555555556,0.05263157894736842,,
gaussian,0.6114764518925166,0.5671881827388162,0.9517763541013613,0.7107905473096878,0.6569027962395797,0.0037779216506808257,,,5.99484250318941e-08,
gaussian,0.6114764518925166,0.5671881827388162,0.9517763541013613,0.7107905473096878,0.6569027935681024,0.0037779216506808257,,,2.1544346900318868e-11,
complement,0.6915226813059808,0.6445521977392004,0.8584627718673706,0.7362821751578155,0.7676064518179908,0.003598300640012018,0.4636363636363637,,,False
complement,0.6915226813059809,0.6445275866270351,0.8585779686236747,0.7363084540576353,0.7674793563404001,0.003615124071617506,3.941515151515152,,,False
